"WBS","工作包","子任务","优先级","开始周","结束周","持续周","前置依赖","交付物","里程碑"
"1.0","稳定性加固","关键接口集成测试补强","P0","1","2","2","无","后端集成测试用例","M1 测试骨架完成"
"1.1","稳定性加固","前端关键页面自动化测试","P0","1","2","2","1.0","前端页面测试脚本","M1 测试骨架完成"
"1.2","稳定性加固","查重异常场景验证","P0","1","2","2","1.0","异常场景验证记录","M2 主链路稳定"
"1.3","稳定性加固","配置与部署回归说明整理","P0","1","2","2","无","配置清单、部署回归清单","M2 主链路稳定"
"2.0","质量提升","前端重复查询/导出逻辑抽离","P1","3","4","2","1.1","通用前端工具/组件","M3 前端结构优化"
"2.1","质量提升","后端服务拆分与辅助逻辑下沉","P1","3","4","2","1.0","服务拆分结果","M4 后端结构优化"
"2.2","质量提升","统一异常码与审计动作规范","P1","3","4","2","1.0","规范文档","M4 后端结构优化"
"2.3","质量提升","配置说明与环境变量规范化","P1","3","4","2","1.3","配置说明文档","M5 规范化完成"
"3.0","业务深化","教师工作台增强","P1","5","6","2","2.0,2.1","教师工作台页面","M6 业务增强可演示"
"3.1","业务深化","学生反馈页与历史趋势增强","P1","5","6","2","2.0","学生反馈页","M6 业务增强可演示"
"3.2","业务深化","查重解释能力增强","P2","5","6","2","2.1","查重解释增强模块","M7 查重分析增强"
"3.3","业务深化","评阅统计与 Rubric 展示增强","P1","5","6","2","2.0,2.1","评阅统计面板","M7 查重分析增强"
"4.0","数据化展示","性能基线测试与归档","P2","7","8","2","1.0,3.0","性能测试报告","M8 数据材料就绪"
"4.1","数据化展示","评估指标图表与对比图","P2","7","8","2","3.2,3.3","评估图表","M8 数据材料就绪"
"4.2","数据化展示","导出报表模板优化","P2","7","8","2","3.3","统一报表模板","M9 报表规范完成"
"4.3","数据化展示","升级总结与答辩支撑材料","P1","7","8","2","4.0,4.1,4.2","升级报告、答辩素材","M10 升级阶段收口"
